representation,clustering_method,visualization_method,stage,elapsed_s,output_path,status,error
doc2vec,agglomerative,tsne,scatter_render,0.161803,reports\week3\scatter\tsne\doc2vec_agglomerative_tsne.png,ok,
doc2vec,gmm,pca,scatter_render,0.136613,reports\week3\scatter\pca\doc2vec_gmm_pca.png,ok,
doc2vec,gmm,umap,scatter_render,0.156164,reports\week3\scatter\umap\doc2vec_gmm_umap.png,ok,
doc2vec,gmm,tsne,scatter_render,0.149461,reports\week3\scatter\tsne\doc2vec_gmm_tsne.png,ok,
sbert,all,pca,reduction,0.002512,reports\week3\scatter\pca,ok,
sbert,all,umap,reduction,2.610228,reports\week3\scatter\umap,ok,
sbert,all,tsne,reduction,4.122993,reports\week3\scatter\tsne,ok,
sbert,kmeans,pca,scatter_render,0.164755,reports\week3\scatter\pca\sbert_kmeans_pca.png,ok,
sbert,kmeans,umap,scatter_render,0.14631,reports\week3\scatter\umap\sbert_kmeans_umap.png,ok,
sbert,kmeans,tsne,scatter_render,0.140371,reports\week3\scatter\tsne\sbert_kmeans_tsne.png,ok,
sbert,dbscan,pca,scatter_render,0.172935,reports\week3\scatter\pca\sbert_dbscan_pca.png,ok,
sbert,dbscan,umap,scatter_render,0.161253,reports\week3\scatter\umap\sbert_dbscan_umap.png,ok,
sbert,dbscan,tsne,scatter_render,0.163464,reports\week3\scatter\tsne\sbert_dbscan_tsne.png,ok,
sbert,hdbscan,pca,scatter_render,0.149167,reports\week3\scatter\pca\sbert_hdbscan_pca.png,ok,
sbert,hdbscan,umap,scatter_render,0.141412,reports\week3\scatter\umap\sbert_hdbscan_umap.png,ok,
sbert,hdbscan,tsne,scatter_render,0.14208,reports\week3\scatter\tsne\sbert_hdbscan_tsne.png,ok,
sbert,agglomerative,pca,scatter_render,0.159337,reports\week3\scatter\pca\sbert_agglomerative_pca.png,ok,
sbert,agglomerative,umap,scatter_render,0.1444,reports\week3\scatter\umap\sbert_agglomerative_umap.png,ok,
sbert,agglomerative,tsne,scatter_render,0.137436,reports\week3\scatter\tsne\sbert_agglomerative_tsne.png,ok,
sbert,gmm,pca,scatter_render,0.145835,reports\week3\scatter\pca\sbert_gmm_pca.png,ok,
sbert,gmm,umap,scatter_render,0.139146,reports\week3\scatter\umap\sbert_gmm_umap.png,ok,
sbert,gmm,tsne,scatter_render,0.137743,reports\week3\scatter\tsne\sbert_gmm_tsne.png,ok,
