representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,stage_dir,parameter_value,parameter_type,parameter_note
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.0001}",1.552,,20,0,0.0,0.4115136265754699,1399.932889945973,2.2073812019334285,,,,,-5775174.083301206,-5792981.215657431,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.001}",1.813,,20,0,0.0,0.4167608320713043,1427.7303610847052,2.207105102239021,,,,,-3664889.858924425,-3682696.99128065,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-05}",1.653,,20,0,0.0,0.4269572794437408,1396.9485035081648,2.278683860699946,,,,,-9339793.637744697,-9357600.77010092,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-06}",1.554,,20,0,0.0,0.4261581599712372,1389.0800969565616,2.2787681510461,,,,,-11589369.271546615,-11607176.403902842,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 0.0001}",3.884,,50,0,0.0,0.634208619594574,2409.94751271767,1.6752149931332596,,,,,-9362950.542868542,-9407481.60342653,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 0.001}",3.791,,50,0,0.0,0.6437641382217407,2517.71570914305,1.6413356565466908,,,,,-6340048.701899822,-6384579.762457809,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-05}",4.086,,50,0,0.0,0.6296460628509521,2355.257592614215,1.653368544951072,,,,,-12023418.54731205,-12067949.607870037,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
tfidf,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",7.718,,50,0,0.0,0.6203263401985168,2214.031281952026,1.7092811110087751,,,,,-14613211.88280328,-14657742.943361267,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
word2vec,agglomerative,101,"{""linkage"": ""ward"", ""n_clusters"": 10}",69.32,,10,0,0.0,0.2673136591911316,1026.1713355941777,3.0477549843716174,,,,,,,primary_k_sensitivity_seed101,10,k,Explicit k/n_components sensitivity value.
word2vec,agglomerative,101,"{""linkage"": ""ward"", ""n_clusters"": 20}",68.838,,20,0,0.0,0.3917911946773529,1119.0687049334424,2.328624609794905,,,,,,,primary_k_sensitivity_seed101,20,k,Explicit k/n_components sensitivity value.
word2vec,agglomerative,101,"{""linkage"": ""ward"", ""n_clusters"": 50}",67.909,,50,0,0.0,0.5364800095558167,1282.525147380026,1.7473214868815905,,,,,,,primary_k_sensitivity_seed101,50,k,Explicit k/n_components sensitivity value.
word2vec,kmeans,101,"{""n_clusters"": 10}",2.659,,10,0,0.0,0.0830130353569984,993.8181588956788,2.6851401942911752,,,,2120565.25,,,primary_k_sensitivity_seed101,10,k,Explicit k/n_components sensitivity value.
