representation,clustering_method,parameter_type,parameter_value,trial_count,seed_count,silhouette_mean,silhouette_std,davies_bouldin_mean,n_clusters_mean,noise_ratio_mean,clustering_time_s_mean
word2vec,dbscan,density_params,"eps=1.943, min_samples=5",1,1,0.9110289812088012,,0.3816441521368851,641.0,0.15514,15.891
word2vec,dbscan,density_params,"eps=2.151, min_samples=5",1,1,0.8889853358268738,,0.4467425911683514,683.0,0.13706,9.186
word2vec,dbscan,density_params,"eps=2.351, min_samples=5",1,1,0.8870691657066345,,0.4702303655614179,664.0,0.13626,13.328
word2vec,dbscan,density_params,"eps=2.909, min_samples=10",1,1,0.790693998336792,,0.6043275289253457,268.0,0.1477,21.951
word2vec,dbscan,density_params,"eps=2.987, min_samples=10",1,1,0.7762795686721802,,0.6226904416030028,280.0,0.14342,11.69
word2vec,dbscan,density_params,"eps=3.074, min_samples=10",1,1,0.75677490234375,,0.6702288874558665,273.0,0.131,17.589
word2vec,dbscan,density_params,"eps=3.086, min_samples=5",1,1,0.7240109443664551,,0.6768537203539262,509.0,0.09294,18.843
word2vec,dbscan,density_params,"eps=3.321, min_samples=10",1,1,0.7087646722793579,,0.7103498260790491,240.0,0.12708,15.735
word2vec,dbscan,density_params,"eps=3.759, min_samples=5",1,1,0.3880073130130768,,0.7503034619793324,382.0,0.06806,25.157
word2vec,dbscan,density_params,"eps=3.871, min_samples=5",1,1,0.3736796379089355,,0.6681736029335266,374.0,0.06694,10.625
word2vec,dbscan,density_params,"eps=3.913, min_samples=5",1,1,0.33863365650177,,0.6478839062412171,371.0,0.0612,12.445
word2vec,dbscan,density_params,"eps=3.997, min_samples=10",1,1,0.3058702051639557,,0.6159836454345692,191.0,0.08916,23.314
word2vec,dbscan,density_params,"eps=4.117, min_samples=5",1,1,0.2959591448307037,,0.5778324584415523,342.0,0.06114,27.458
word2vec,dbscan,density_params,"eps=4.664, min_samples=10",1,1,0.291921466588974,,0.6039869099838083,157.0,0.06538,93.689
word2vec,dbscan,density_params,"eps=4.743, min_samples=5",1,1,0.256221055984497,,0.5958692923959156,302.0,0.04292,71.447
word2vec,dbscan,density_params,"eps=4.812, min_samples=10",1,1,0.2606460750102997,,0.6137586823993265,149.0,0.06328,39.07
word2vec,dbscan,density_params,"eps=4.89, min_samples=10",1,1,0.2892361879348755,,0.6090777761537299,156.0,0.05708,56.857
word2vec,dbscan,density_params,"eps=5.158, min_samples=10",1,1,0.3104987740516662,,0.6227340893634895,143.0,0.05732,64.494
word2vec,dbscan,density_params,"eps=5.479, min_samples=5",1,1,0.3098717331886291,,0.656393893096133,228.0,0.03388,116.871
word2vec,dbscan,density_params,"eps=5.532, min_samples=5",1,1,0.2868468463420868,,0.6106904494860051,223.0,0.03024,47.487
word2vec,dbscan,density_params,"eps=5.561, min_samples=5",1,1,0.3022514283657074,,0.5900241136280938,219.0,0.03244,39.288
word2vec,dbscan,density_params,"eps=5.781, min_samples=5",1,1,0.3167169094085693,,0.6063702081914267,202.0,0.02906,114.227
word2vec,dbscan,density_params,"eps=5.878, min_samples=10",1,1,0.297849029302597,,0.6050004423149857,114.0,0.04096,138.107
word2vec,dbscan,density_params,"eps=6.49, min_samples=5",1,1,0.3503052592277527,,0.5974374900357756,154.0,0.02086,145.34
word2vec,dbscan,density_params,"eps=6.782, min_samples=10",1,1,0.3181404769420624,,0.5939181668603113,84.0,0.03028,114.814
word2vec,dbscan,density_params,"eps=6.794, min_samples=10",1,1,0.3189779222011566,,0.5660094683163984,83.0,0.0317,236.936
word2vec,dbscan,density_params,"eps=6.869, min_samples=10",1,1,0.3460480868816376,,0.5550758956763393,75.0,0.02826,165.021
word2vec,dbscan,density_params,"eps=7.085, min_samples=10",1,1,0.3361707627773285,,0.5758177634142985,66.0,0.02632,191.726
word2vec,dbscan,density_params,"eps=7.9, min_samples=10",1,1,0.3209357559680938,,0.5518972757649616,52.0,0.0186,260.151
word2vec,hdbscan,density_params,min_cluster_size=15,5,5,0.9070704817771912,0.004487034399278934,1.3600369455707375,396.0,0.160908,72.30199999999999
word2vec,hdbscan,density_params,min_cluster_size=30,5,5,0.9100252151489258,0.003924866958896749,1.9896798601134695,203.6,0.19881600000000002,80.48400000000001
word2vec,hdbscan,density_params,min_cluster_size=50,5,5,0.9155588030815125,0.004460230465974914,2.699086123661292,129.0,0.23578800000000003,87.89540000000001
word2vec,gmm,n_components,10,20,5,0.2655470915138721,0.03073033500774671,3.5564621358731037,10.0,0.0,1.2465
word2vec,gmm,n_components,20,20,5,0.3872101217508316,0.040543284442731926,3.0782925604156994,20.0,0.0,2.68845
word2vec,gmm,n_components,50,20,5,0.5382976472377777,0.006771888796745658,2.5033683557360704,50.0,0.0,7.2754
