representation,kmeans,dbscan,hdbscan,agglomerative,gmm
tfidf,0.782728123664856,0.9244371056556702,0.9283946514129638,0.7852674126625061,0.7176750421524047
word2vec,0.6283124685287476,0.8648333787918091,0.9155588030815124,0.6371070981025696,0.6319176912307739
doc2vec,0.1144741509109735,0.5240671157836914,0.4417833507061005,0.3395027314079925,-0.0655862003564834
sbert,0.5805429339408874,0.3921428978443145,0.9220574617385864,0.588212537765503,0.5816969871520996
