representation,sample_size,seed,embedding_time_s,peak_memory_mb,device,embedding_cache_key,embedding_cache_path,embedding_cache_hit,embedding_load_time_s,embedding_dimensions,requested_pca_components,pca_applied,effective_dimensions,pca_explained_variance_ratio,clustering_method,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all,tfidf_features,tfidf_max_features,tfidf_min_df,tfidf_max_df,tfidf_svd_applied,tfidf_svd_components,dataset,experiment
tfidf,50000,789,3.073,110.404,cpu,tfidf_11effbbb6d7c494d,reports\week4_pilot\primary_optimal_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,,50,50,False,50,,dbscan,"{""eps"": 0.539451, ""metric"": ""euclidean"", ""min_samples"": 5}",7.39,,637,4468,0.08936,0.9261382818222046,114329.12962417128,0.2115345316506769,,,,0.77520751953125,416.9653887273295,1.0621607038271872,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",75.359,,367,5336,0.10672,0.9321172833442688,18197.630034795733,0.3970752250110873,,,,0.7582345604896545,665.5650236413989,1.0482939992628564,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,101,0.052,19.123,cpu,tfidf_552d73562a74a5ad,reports\week4_pilot\primary_optimal_seed101\cache\tfidf_552d73562a74a5ad.npz,True,0.05,50,50,False,50,,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",79.358,,368,5091,0.10182,0.9283137917518616,14654.354164325749,0.3868281991961196,,,,0.7676984667778015,694.2208551607314,1.0349600377782249,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,123,3.079,110.29,cpu,tfidf_845ed867502f7262,reports\week4_pilot\primary_optimal_seed123\cache\tfidf_845ed867502f7262.npz,False,,50,50,False,50,,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",78.175,,358,4917,0.09834,0.9250829815864564,14370.62225105517,0.3994099625797581,,,,0.7556499242782593,706.1211226495332,1.0604226802853989,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,456,2.968,110.323,cpu,tfidf_f072693cb3bb6302,reports\week4_pilot\primary_optimal_seed456\cache\tfidf_f072693cb3bb6302.npz,False,,50,50,False,50,,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",41.111,,373,5501,0.11002,0.9271267652511596,15137.04832913947,0.4026135749941818,,,,0.7434884905815125,608.2044836498898,1.053043300842878,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,789,3.073,110.404,cpu,tfidf_11effbbb6d7c494d,reports\week4_pilot\primary_optimal_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,,50,50,False,50,,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",42.367,,368,5162,0.10324,0.929332435131073,16421.96318838957,0.3892234477491513,,,,0.7579209804534912,701.6004968821626,1.052180047768562,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,42,3.091,110.142,cpu,tfidf_21e201679651b82c,reports\week2\cache\tfidf_21e201679651b82c.npz,False,,50,50,False,50,,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",5.741,,100,0,0.0,0.7265139818191528,2466.5392517618484,1.456459421208995,-18011069.284011345,-18100140.224905606,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,101,0.052,19.123,cpu,tfidf_552d73562a74a5ad,reports\week4_pilot\primary_optimal_seed101\cache\tfidf_552d73562a74a5ad.npz,True,0.05,50,50,False,50,,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",15.002,,100,0,0.0,0.709023654460907,2509.378554894012,1.3464730207314983,-17755835.702911913,-17844906.643806174,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,123,3.079,110.29,cpu,tfidf_845ed867502f7262,reports\week4_pilot\primary_optimal_seed123\cache\tfidf_845ed867502f7262.npz,False,,50,50,False,50,,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",8.658,,100,0,0.0,0.7062849998474121,2386.827731026361,1.5300607494555405,-17494165.983660858,-17583236.92455512,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
tfidf,50000,456,2.968,110.323,cpu,tfidf_f072693cb3bb6302,reports\week4_pilot\primary_optimal_seed456\cache\tfidf_f072693cb3bb6302.npz,False,,50,50,False,50,,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",4.471,,100,0,0.0,0.7390437126159668,2853.9461178954466,1.3738654860557022,-17241855.430751443,-17330926.371645704,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
