representation,clustering_method,parameter_type,parameter_value_numeric,trial_count,seed_count,silhouette_mean,silhouette_std,inertia_mean,bic_mean
doc2vec,agglomerative,k,2,5,5,0.31131585389375693,0.48867606117032053,,
doc2vec,agglomerative,k,3,5,5,-0.059741723909974065,0.0349775040446622,,
doc2vec,agglomerative,k,4,5,5,-0.07469515353441233,0.025459021404379223,,
doc2vec,agglomerative,k,5,5,5,-0.0876955986022949,0.014292546917691471,,
doc2vec,agglomerative,k,8,5,5,-0.0984969317913055,0.010118213161636573,,
doc2vec,agglomerative,k,10,5,5,-0.08765518069267268,0.008925307921589859,,
doc2vec,agglomerative,k,15,5,5,-0.05536450594663615,0.01598576667626711,,
doc2vec,agglomerative,k,20,5,5,-0.03839635886251924,0.0073968853609351825,,
doc2vec,agglomerative,k,30,5,5,-0.03008565753698344,0.0044317205456032615,,
doc2vec,agglomerative,k,40,5,5,-0.01827371753752226,0.003115057763598494,,
doc2vec,agglomerative,k,50,5,5,-0.01498843729495998,0.0016699520679485222,,
doc2vec,agglomerative,k,75,5,5,-9.601861238482009e-05,0.0024168382260434996,,
doc2vec,agglomerative,k,100,5,5,-0.04152628853917118,0.0031157602652311634,,
doc2vec,gmm,n_components,2,20,5,0.24305963218212123,0.006841692342495361,,5924883.987720048
doc2vec,gmm,n_components,3,20,5,-0.02794696493074293,0.014652030390877535,,5684763.899954319
doc2vec,gmm,n_components,4,20,5,-0.0669374924153089,0.002124958190117322,,5467144.852557764
doc2vec,gmm,n_components,5,20,5,-0.06367326881736513,0.004675654814035333,,5412579.255457732
doc2vec,gmm,n_components,8,20,5,-0.04965902436524625,0.003737362366762534,,5295178.999264832
doc2vec,gmm,n_components,10,20,5,-0.04706077612936492,0.0037366734350252192,,5256621.041806568
doc2vec,gmm,n_components,15,20,5,-0.05596690615639086,0.030995324832244157,,5192137.267389646
doc2vec,gmm,n_components,20,20,5,-0.08814698979258531,0.0038876121039421925,,5126818.692739697
doc2vec,gmm,n_components,30,20,5,-0.07828847952187058,0.004024142790932739,,5072381.777648978
doc2vec,gmm,n_components,40,20,5,-0.07202893234789368,0.001987436637961746,,5025273.30545795
doc2vec,gmm,n_components,50,20,5,-0.06498785503208632,0.002119107623280474,,4998007.536835026
doc2vec,gmm,n_components,75,20,5,-0.06977804284542796,0.002781397338017017,,4943088.62793001
